# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 1
10 0 3
11 0 6
12 0 10
13 0 11
14 0 15
15 0 16
16 0 19
17 0 21
18 0 25
19 0 27
20 0 30
21 0 32
22 0 37
23 0 38
24 0 42
25 0 42
26 0 44
27 0 48
28 0 49
29 0 51
30 0 55
31 0 58
32 0 60
33 0 64
34 0 65
35 0 66
36 0 69
37 0 72
38 0 74
39 0 75
40 0 77
41 0 81
42 0 82
43 0 84
44 0 88
45 0 90
46 0 93
47 0 94
48 0 96
49 0 98
50 0 102
51 0 105
52 0 106
53 0 109
54 0 110
55 0 112
56 0 113
57 0 115
58 0 116
59 0 117
60 0 118
61 0 123
62 0 124
63 0 127
64 0 128
65 0 132
66 0 132
67 0 134
68 0 137
69 0 139
70 0 141
71 0 144
72 0 145
73 0 149
74 0 152
75 0 155
76 0 157
77 0 159
78 0 162
79 0 163
80 0 165
81 0 168
82 0 170
83 0 174
84 0 175
85 0 177
86 0 179
87 0 183
88 0 186
89 0 188
90 0 190
91 0 193
92 0 197
93 0 199
94 0 201
95 0 202
96 0 204
97 0 207
98 0 208
99 0 209
100 0 213
101 0 213
102 0 215
103 0 220
104 0 221
105 0 224
106 0 226
107 0 230
108 0 230
109 0 232
110 0 234
111 0 236
112 0 239
113 0 240
114 0 242
115 0 243
116 0 246
117 0 248
118 0 250
119 0 252
120 0 255
121 0 258
122 0 262
123 0 265
124 0 268
125 0 270
126 0 273
127 0 277
128 0 279
129 0 281
130 0 284
131 0 288
132 0 291
133 0 293
134 0 295
135 0 301
136 0 306
137 0 309
138 0 313
139 0 315
140 0 315
141 0 319
142 0 321
143 0 323
144 0 325
145 0 327
146 0 330
147 0 332
148 0 334
149 0 338
150 0 340
151 0 341
152 0 346
153 0 347
154 0 348
155 0 351
156 0 353
157 0 355
158 0 358
159 0 361
160 0 364
161 0 368
162 0 372
163 0 374
164 0 377
165 0 380
166 0 382
167 0 385
168 0 388
169 0 391
170 0 392
171 0 395
172 0 397
173 0 399
174 0 404
175 0 406
176 0 407
177 0 410
178 0 413
179 0 414
180 0 415
181 0 416
182 0 417
183 0 419
184 0 423
185 0 424
186 0 426
187 0 428
188 0 428
189 0 431
190 0 432
191 0 433
192 0 435
193 0 439
194 0 442
195 0 443
196 0 443
197 0 446
198 0 449
199 0 453
200 0 454
